第一部：必要 開場白,內容
破解第二個「傷官」,🔺：破解第二個「傷官」，完全擺脫壞磁場，感受性會更明顯。2個傷害就是有2倍的殺傷力，不能只破解一個，否則還是會被衰神找上門。
破解「偏印」,🔺：破解「 偏印（P）」，原本生活充滿小人，他們不會明顯地傷害你，但是會讓你添麻煩。你跟著他們做的決定去走，你會落入煩惱裡，根本百害而無一利。你習慣了，就會覺得人際關係很不可靠，甚至變得沒安全感，只相信自己。破解後，避免小人陷害，避免惡姻緣，避免被扯後腿、斷送財根、遭陷害、身敗名裂等事件發生。偏印，就是小人的意思，化解後，小人（爛桃花/第三者）就會遠離你，少來界入你的感情關係，也少了挑釁離間你跟配偶的感情。小人（家人、上司、長輩）也會轉化成善緣，友善對待，對你也滿意，不再酸言酸語，多了一份接受及融入。
命盤有2個偏印,命盤有2個偏印，小人很嚴重，生活過得不太好。小人，是指暗裡傷害你的人，有些背後講你是非，針對你；有些是讓你發生意外，通常都矇在鼓裡；有些是他們做的決定都會讓你添麻煩，讓你更一蹋糊塗，自己只能受委屈。
「梟印奪食」,🔺：破解命盤「梟印奪食」的凶相，小人很嚴重，生活過得不太好。小人，是指暗裡傷害你的人，有些背後講你是非，針對你；有些是讓你發生意外，通常都矇在鼓裡；有些是他們做的決定都會讓你添麻煩，讓你更一蹋糊塗，自己只能受委屈。所以，你的人生常常打掉重來，你是有能力的，但不被欣賞還被狠狠利用完就丟掉。化解後，你會得到重生，不再小心眼看身邊的人。你的付出，會引來貴人，也會投入在一個領域裡脫穎而出。你的能力重新發揮在你的成功上，你值得擁有更多的肯定及回報。
破解流年「偏印」,🔺：破解2024流年「 偏印（P）」，小人為患的一年，不知是敵是友，容易被陷害，有人來幫忙結果來添麻煩，讓你更不知所措。表面好人，暗裡講你是非又針對你，也容易錯信人，最後大難臨頭各自飛。小人是暗地的，不會讓你知道他的存在，當你發現的時候，已經為時已晚。化解後，小人退散，大事化小。不小心就惹上麻煩，最後也會放過你，或是突然消聲匿跡。趕走小人要靠破解，否則越趕越靠近。
破解流年「梟印奪食」,🔺：破解2024流年「 偏印（P）」，化解「梟印奪食」，避免被扯後腿、斷送財根、遭陷害、身敗名裂等事件發生。偏印，就是小人的意思，化解後，小人（爛桃花/第三者）就會遠離你，少來界入你的感情關係，也少了挑釁離間你跟配偶的感情。小人（家族）也會同意你們的感情進展，對你也滿言，不再酸言酸語，多了一份接受及融入。
破解第二個「偏印」,🔺：破解第二個「偏印（P）」，完全擺脫小人磁場，感受性會更明顯。2個小人就是有2倍的傷害力，不能只破解一個，否則還是會被小人找上門。
破解「劫財」,🔺：破解「劫財」，原本你做任何事都會有人來「假借合作」實際上是利用你。不管是家人還是職場，自己辛苦賺的錢，能撈則撈，能拿則拿，有本事就是你拿別人，磁場能量不夠，就是被別人搶走。莫名其妙破財，雖然是自己願意付出，但還是拿不回來。破解後，避免投資失敗，大筆被騙，解決第三者明搶情人，避免伴侶招惹野花，避免惡意競爭，解決有人惡意爭奪自己的人緣、桃花、財源。劫財，就是劫奪的意思，破解後，沒有人能奪走你的情人，即使有人想要來奪走也會破攻。伴侶也會為了你，而懂得拒絕異性，保持距離。
命盤有2個劫財,🔺：破解第二個「劫財」，完全擺脫劫奪資源的磁場，感受性會更明顯。2個劫財就是有2倍的破財力，不能只破解一個，否則還是會被人拿錢沒完沒了。
「劫財奪正財」,🔺：破解命盤「劫財奪正財」的凶相，意思就是你的人生都是「穩定收入都很快被拿走」。原本你賺的錢都可以存錢，或是自己吃喝玩樂，但是這個凶相在你的命盤中，導致有「你賺的錢都不是你的」的情況，如果不處理，你會覺得錢不夠，還很厭倦自己的人生，也覺得努力沒有用，也過得吃力不討好。所以，必需要先破解劫財，否則，你破財的煩雜瑣碎事，都會比別人嚴重。
破解流年「劫財」,🔺：2024年，破解流年走「劫財」，避免錢財流失，被爭奪資源，減少被借錢被騙投資合作的情況，解決感情困擾。破解後，減少惡性競選，減少損友干擾，減少挑釁離間的事情發生。劫財，就是劫奪的意思，化解後，沒有人能奪走你的情人，即使有人想要來奪走也會破攻。伴侶也會為了你，而懂得拒絕異性，保持距離。
破解流年「劫財奪正財」,🔺：破解2024年「劫財奪正財」，避免「穩定收入都很快被拿走」，這一年你賺的錢原本都可以存錢，或是自己吃喝玩樂，但是在這一年會有「你賺的錢都不是你的」的情況，如果不處理，你會覺得錢不夠，還很厭倦，也覺得努力沒有用，也過得吃力不討好。所以，必需要先破解劫財，否則，你破財的煩雜瑣碎事，都會比別人嚴重。
破解第二個「劫財」,🔺：破解第二個「劫財」，完全擺脫劫奪資源的磁場，感受性會更明顯。2個劫財就是有2倍的破財力，不能只破解一個，否則還是會被人拿錢沒完沒了。
破解「比肩」,🔺：破解「比肩」，這個是吸引第三者的磁場（不管是自己還是）所以，如果是命中常常有第三者來糾纏伴侶，一定要破解。在生活方面，原本重視朋友，寧願跟朋友出去也會跟伴侶改時間，朋友一句話，相信十足。朋友多不多視乎你的社交能力，但你一定不會讓自己孤獨。如果，生活圈沒有相知的朋友，會很難受。避免朋友來佔小便宜、借錢、合作投資通常都會失敗。自己賺到錢，會不知不覺被拿走（借錢，合作，投資等等）。比肩，就是朋友人脈的意思。化解後，減少不必要的朋友來往，懂得保持朋友距離，減少不必要的誤會，跟朋友走得太近，不懂拿捏分寸，伴侶其實都看在眼裡。減少自己重視朋友而忽略伴侶的情況，減少朋友干涉自己生活的事情發生，減少朋友影響自己的頭腦，減少做錯決定。
命盤有2個比肩,🔺：破解第二個「比肩」，完全擺脫劫奪資源的磁場，感受性會更明顯。2個比肩就是有2倍的破財力，不能只破解一個，否則還是會被人拿錢沒完沒了。
「比肩奪偏財」,🔺：破解命盤「比肩奪偏財」的凶相，避免「朋友聚會太多而花費支出過多」以及「吸引親朋好友來問你借錢投資」，但是這個凶相在你的命盤中，會因為人情壓力、人情勒索、顧面子，而一直被強迫花錢。如果不處理，你會面臨入不敷支，甚至要借貸過生活。所以，必需要先破解比肩，否則，你會夾在朋友跟錢之間，讓你吃力不討好。
破解流年「比肩」,🔺：2024年，破解流年走「比肩」，避免錢財流失、爭奪資源，解決感情困擾、避免第三者介入，收支更穩定。比肩，就是朋友人脈的意思，化解後，不再被朋友干擾自己的感情，減少朋友在背後挑釁離間，減少被閏蜜背叛的情況，也減少自己重視朋友而忽略配偶的情況，配偶也同樣在乎你而不再頻繁赴約朋友的聚會。
破解流年「比肩奪偏財」,🔺：破解2024年「比肩奪偏財」，避免「朋友聚會太多而花費支出過多」以及「吸引親朋好友來問你借錢投資」，這一年你會因為人情壓力、人情勒索、顧面子，而一直被強迫花錢。如果不處理，你會面臨入不敷支，甚至要借貸過生活。所以，必需要先破解比肩，否則，你會夾在朋友跟錢之間，讓你吃力不討好。
破解第二個「比肩」,🔺：破解第二個「比肩」，完全擺脫人情勒索的磁場，感受性會更明顯。2個比肩就是有2倍的漏財力，不能只破解一個，否則還是會被人拿錢沒完沒了。
對象破解「比肩」,🔺：破解「比肩」，避免朋友來佔小便宜、借錢、合作投資通常都會失敗。在感情上，也避免情敵/第三者的磁場，不管自己或伴侶都有機會吸引異性纏身。比肩，就是朋友人脈的意思。化解後，不再被朋友干擾自己的感情，減少朋友在背後挑釁離間，減少被閏蜜背叛的情況，也減少自己重視朋友而忽略配偶的情況，配偶也同樣在乎你而不再頻繁赴約朋友的聚會。
破解「七殺」,🔺：破解「七殺」，原本你的思緒也比較混亂，腦壓高，常常思考，所以顯得思慮過多而壓力大。很多時候都是自己想得太用力，也可能是太盡責，搞到自己常常瞎忙。上司長輩這些角色，也常對你施壓，讓你越來越有個性，做自己表達自己，卻成為了他們的煩惱。化解事業阻礙，化解上司挑剔針對，避免血光之災，避免意外頻頻。七殺，就是爛桃花/小情人的意思，避免遇上爛桃花爛姻緣，避免了他們假的承諾，也避免了甜言密語讓你衝動不理性不理智，盲目去付出錯愛的心，盲目地在乎錯的人。你對情人的壓迫感也會減少，情人就會順著你變得聽話，也比較不會硬要跟你吵架。
破解流年「七殺」,🔺：2025，破解流年走「七殺」，化解事業阻礙，化解上司挑剔針對，避免血光之災，避免意外頻頻。七殺，就是爛桃花/小情人的意思，避免遇上爛桃花爛姻緣，避免了他們假的承諾，也避免了甜言密語讓你衝動不理性不理智，盲目去付出錯愛的心，盲目地在乎錯的人。你對情人的壓迫感也會減少，情人就會順著你變得聽話，也比較不會硬要跟你吵架。
破解第二個「七殺」,🔺：破解第二個「七殺」，完全擺脫暴躁的磁場，感受性會更明顯。2個七殺就是有2倍的殺傷力，不能只破解一個，否則還是會很大壓力地過活。
破解命盤「官殺混雜」,🔺：破解「七殺」，你命盤中官殺混雜，你以往的感情生活都較複雜，婚前容易與多位男性交往，心神不定，婚後也容易吸引第三者介入。再者，你壓抑著自制力，內心常掙扎，總覺得有更好的選擇，遇上誘惑的考驗會很煩惱又很痛恨，處理不好則墜入感情婚姻的糾紛中。感情也常常處於二選一的困難中，覺得都好好，不想錯過最好，顯得貪心又無法掌控自己的愛情。如果，你很愛伴侶，則為他忠心忠誠，否則上述的事情會在某一天顯露。
單身破解流年「七殺」,🔺：2025，破解流年走「七殺」，減少突發事件‧發生意外、受傷流血、動刀手術事件。減少壓力過大而生病，要注意身體健康。單身，要注意遇到爛桃花，來玩弄感情，或詐財詐色。破解後，會還遇到殺傷力較低的情人。事業上減少飛來橫禍的事情，更有衝勁，更積極，更專注在事業，要好好把握這一年的野心，會讓你更上一層樓。
對象破解「七殺」,🔺：破解「七殺」，原本你的思緒也比較混亂，腦壓高，常常思考，所以顯得思慮過多而壓力大。很多時候都是自己想得太用力，也可能是太盡責，搞到自己常常瞎忙。上司長輩這些角色，也常對你施壓，讓你越來越有個性，做自己表達自己，卻成為了他們的煩惱。化解事業阻礙，化解上司挑剔針對，避免血光之災，避免意外頻頻。
破解「食神」,🔺：破解「食神」，原本狀況容易疲憊，睡飽還是會累。覺得自己常常都在付出，自己也很努力認真，但往往回報不成正比。你一生中都在洩氣，所以，持續下去會容易熬出病。破解後，增加執行力，減少怠惰感，更有活力做事，做事進取積極。食神，就是福祿的意思，破解後，你不會再怠惰，也不再只享受現況，反而更積極創造自己躺著賺錢的機會，利用自己的頭腦賺錢，用最精簡的方法去賺超越能力的錢，這就是能HOLD住「躺著賺錢」的祕訣。在愛情裡，你的浪漫不再受限制，而且對方也欣賞你的儀式感，為你的心思感到感恩及幸福。
破解「雙正官」,🔺：破解「正官」，女以官為夫，本命雙官，意思就是一段容易出現兩個情人。化解後，避免桃色糾紛，感情順利，甜蜜幸福。同樣，也避開了「選擇困難」，容易要在兩個對象裡擇一去交往或結婚。
夫妻宮,內容
破解夫妻宮害局,🔺：破解夫妻宮害局＝感情危機，原本覺得自己感受不到愛，不知道自己喜歡怎樣的愛情，但卻清楚知道不喜歡怎樣的人。愛恨分明，不喜歡就掰掰。破解後，越來越好溝通，有商有量，不再被反對反抗，相聚時間更融洽，笑容也多了。從前的冷暴力也變得温暖多了，以往的無情相對也變得有情感了，往日的愛理不理也變成了窩心的擁抱。他即使一如概往的冷淡，但是他的行為多了一份愛的表達。他的喜怒哀樂不好猜，卻多了一份神秘的微笑。他的不滿意不再掛在嘴邊，而是帶著好心情地開玩笑。
破解夫妻宮沖局,🔺：破解夫妻宮沖局＝感情危機，不用再被情人打擊。即使對彼此有意見，也能良好溝通，小事也能化成沒事，不再被指責。情緒起伏也變得平靜，面對無理也能看淡。即使意見對立，也學會相讓。沖局有好有壞，化解後，往好的方向走，彼此產生火花，不生不減，火花就是指新鮮感，充滿驚喜，偶爾吵鬧，還是可以合好。
破解夫妻宮刑局,🔺：破解夫妻宮刑局＝感情問題導火線，不再自尋煩惱，反而學會了讓自己放鬆快樂。即使說不出話，也不成壓力，自然的表達變得更有自信心。心中的鬱悶解開了，快樂也常湧在心頭上。在愛情上，多了一份從容自在，冒出的念頭也不再內耗自己的心，想像很多卻是讓我腦補又沾沾自喜。自己的正能量越多，情人也越來越主動靠近。
製造夫妻宮合局,🔺：製造夫妻宮合局，原本對愛情沒什麼想法跟憧憬，對愛情沒什麼慨念，不懂得花心思或浪漫，也不會多做。在愛情的互動裡，像是沒情感的石頭，有做 跟 用心做 是兩回事。製造合局後，自己更重視伴侶，懂得付出，更願意花時間及心思在愛情上，互動也變得更有靈魂。自己的表達「不再以自己為優先」，懂得考慮伴侶的感受及需求。有事好溝通，不再「隨便」「哦」，跟伴侶討論會積極熱烙一些。開始感受到愛情的甜蜜，愛情的意義，也終於感受到「原來自己也有愛」。
製造對象合局,🔺：製造夫妻宮合局，伴侶變得更在意自己、重視自己，自己的付出也得到了充滿愛的回應，伴侶也越來越投入這段感情裡，有事好溝通，有一種「我愛你，你也剛好深愛著我」的感受。彼此相依相偎，相親又相愛，適當的距離，適度的浪漫，適量關心，適合的情人。
地支,內容
破解家運及長輩沖局,🔺：破解家運及長輩沖局，家人、上司、長輩這些人都容易說出讓你不爽的話，你會因此而生悶氣，也覺得自己受委屈。他們的意見，常常好心做壞事，所以，你不太喜歡跟他們有再多的交流。破解後，他們少插手，少出一張嘴，生活從此變得平靜，自己的精神也不那麼緊繃，終於能舒服一些，溝通碰撞變少，頂撞變少。
破解家運及長輩害局,🔺：破解家運及長輩害局，害局帶來很多的不理解，溝通無效，忽略你的感受，沒有說話權的狀況。你也常被陷害，明明好都被他們弄到不好，常找你麻煩，常罵你又愛唸你，愛理不理。但是破解後，你們之間越來越好溝通，有商有量，不再被反對反抗，相聚時間更融洽，笑容也多了。從前的冷暴力也變得温暖多了，以往的無情相對也變得有情感了，往日的愛理不理也變成了窩心的關心。長輩即使一如概往的冷淡，但是他們的行為多了一份愛的表達。他們的喜怒哀樂不好猜，卻多了一份神秘的微笑。他們的不滿意不再掛在嘴邊，而是帶著好心情地開玩笑。
破解家庭對伴侶的害局,🔺：破解家庭對伴侶的害局，不恰當或不好相處的情況，沒有同住都沒事，但是只要同桌吃飯或是結伴出遊，很容易產生磨擦，不爽就寫在臉上，愛理不理，有話悶在心裡，或是雙方獨處才講給你聽，你心裡也不好受。破解後，少有尷尬不滿的情況，多了一份包容心，就算不爽也不會維持太久。沒事就不碰面，有必須相處就客套噓寒問暖都沒問題。
破解事業害局,🔺 ：破解事業害局，原本都會找到自己不喜歡的工作，職場不愉快，如果不是無法脫離現有工作，不然就是常常換不做。這個就是事業害局磁場的影響，讓你待不久，做不久。破解後，你會找到一份讓你有熱情的工作，在職場不再壓抑或焦慮，終於能夠專注工作。以前做事都不成功，破解後終於有了更明確旳事業方向，勇敢做自己，就算重新投入新工作，也容易應付。以往找工作常找到有挑戰性的工作內容，破解後會比較輕鬆。以往萬事起頭難，破解後會有貴人幫忙，也少阻礙，更能進入狀態。
製造內心合局,🔺：堅定內心，原本保守，缺乏安全感，缺乏自信心。自己會限制自己的想法及行為，讓自己遲遲都落後人一步。破解後，會變得更積極熱情，跨出舒適圈，勇敢面對，勇氣敢嘗試，勇敢表達。
製造事業合局,🔺：旺事業，原本會被工作綁手綁腳，找到一份工作會想做一輩子，安份守己做好每一件事。遇到瓶頸也只能硬著頭皮，即使不喜歡也不太敢作對。破解後，會更積極工作，面對不喜歡的工作，願意拚一次來換取自己喜歡做的事。對事業有所期待，更有方向感及目感。
第三部：必要標題,內容
✌ 非必須破解,"🔸命盤缺失：缺乏的能量是關鍵（✌ 非必須破解）
 
 「空亡」像是封印能量的結界，要解開封印，必須要透過奇遁及空亡燈，才能重啟你原本該有的能量，而你就是開啟「XX 能量」。"
🔸命盤缺失：缺乏的能量是關鍵（✌ 非必須破解）,內容
夫妻宮空亡,🔺 ：夫妻宮空亡，對感情無從入手，不知道怎麼開始，怎麼收尾，在愛情都沒好結局。自己在愛情上比較迷惘，沒人欣賞自己，自己的好，對象都看不見。明明進展不錯，但到曖昧了就停滯不前，嚴重是可能睡一晚就不見了。對愛情沒辦法像別人能收放自如，總覺得自己像小丑，都是自己在示好，來不及剎車，就被拋棄了。沒辦法拿捏愛情的心思，有時候會嚇到對方，有時候對他熱情也不領情。把握不住好時機，就白白讓機會錯過。破解夫妻宮空亡後，開始懂得去拿捏自己該做什麼，還沒時機成熟就先不做什麼。對象對自己的心意會主動示意或積極示好，自己也會把握機會，關係突破。不再被動等著被愛，還會主動出擊，讓感情更升温。在感情世界裡，更明白愛情是分享快樂，懂得付出心思在正確的位置上，也懂得跟對象相處。知道自己要的愛情是什麼，不再是有人愛就好，愛情有了方向，才會更精準地找對MR RIGHT。
事業空亡,"🔺 ：事業空亡, 對事業感情迷惘，不知道要做怎樣的工作才適合自己，容易做一陣又想換工作，或是混水摸魚地過日子，不在乎事業的發展及要求。對工作沒有太大的要求，有就好，沒有就忍忍，忍不住就再找，這樣的循環會讓你習以為常。破解事業空亡後，你開始有動力，也開始思考未來，重新思考目前的工作事業是否適合。有了目標，有了方向，你會慢慢摸索到不一樣的工作領域，職場自信心會越來越強，也開始提升自己的價值，往目標前進。"
帝旺空亡,🔺 ：帝旺空亡，會顯現為，做任何事都難以成功，就算自己努力，有人幫忙，最後還是事不成。花盡心思，也得不到想要的。眼見別人成功，自己卻無動於衷、原地踏步。也有可能就是，你根本就沒有慾望「成功」。破解帝旺空亡後，內心開始有了慾望，有了野心，有了幹勁。做事有行動力，有積極心，心態也會有變化。對「成功」有另一番見解，在生活上也有自信心，即使遇難關，也會想盡辦法去解決。這就是為什麼，破解之後會離成功越來越近。
祿神空亡,🔺 ：祿神空亡，會顯現為，賺錢速度比較慢，起步創業也比較緩慢，會有「穩定就好，有工作就好」的心態，難以突破賺錢思維，所以即使有想過賺錢，也會原地踏步，故步自封，百種藉口合理化自己的行為。明明有祿神的福報，卻被空亡封印著，沒辦法發揮原本賺錢的速度及見解，實在可惜。破解後，賺錢得心應手，能順著自己的想法去實行，也會有很好的成績。只要自己一步一步穩固好自己賺錢的方法，賺錢易如反掌，收入多少，取決你自己的野心。只要你願意做，祿神都會帶給你豐厚的回報。
正財空亡,🔺 ：正財空亡，會顯現為，你渴望有穩定的收入，穩定的生活，建立幸福的家庭。但是，你卻會為「錢」而奔波，不惜犧牲自己的時間及勞力去換取回來。所以，你會賺得很累，又不捨得放手，導致你不敢離開舒適圈，也認為賺錢是辛苦賺來的，才有報酬，不辛苦是賺不到錢的迷思。所以，你做任何事都會很賣力，其實在消耗自己的一切，才能換得回來。破解正財空亡後，本來的金錢觀會有所改變，會認真規劃自己收入，增加自己第二收入來源，會更謹慎花錢。最主要，就是願意多嘗試賺額外的收入，不再以時間及體力換取金錢。
第二個正財空亡,"🔺：第二個正財空亡，完全擺脫空亡封印，感受性會更明顯。2個空亡就是2倍的虧錢力量，不能只處理一個，否則還是會容易破財漏財。
 
 正財空亡有2個，所以心中渴望賺錢的時候，會特別難受，只看結果會懷疑自己，否定自己。「空亡」像是封印能量的界結，要解開封印，必須要透過奇遁及空亡燈，才能重啟你原本該有的能量，而你就是開啟「正財能量」。"
偏財空亡,🔺 ：偏財空亡，會顯現為，你渴望賺錢或做生意，但是不知道麼做才可以賺到錢，甚至一直都有在執行但是卻沒有成效。對於金錢，是迷惘的，缺乏自信心的，越做越無力，好像不曾被上天照顧一樣。也覺得方向是正確的，方法也是可行的，卻沒有成效，沒辦法達到心中的目標，不知道為何總是很吃力。奇遁破解偏財空亡，就是把「偏財」能量重新啟動。破解後，你會發現賺錢變得輕鬆簡單，以前用過的方法也終於有結果，金錢收入越多，你會越有自信心，心情也會越來越好。還會有大筆進帳，只要破解後，重新規劃工作，客人都是有錢有質感的，只要你服務客人越開心，你給他們的CP值越好，他們越捨得花錢買單，甚至不看價錢就付錢。
第二個偏財空亡,"🔺：第二個偏財空亡，完全擺脫空亡封印，感受性會更明顯。2個空亡就是2倍的虧錢力量，不能只處理一個，否則還是會容易損失大筆錢財。
 
 偏財空亡有2個，所以心中渴望賺錢的時候，會特別難受，只看結果會懷疑自己，否定自己。「空亡」像是封印能量的界結，要解開封印，必須要透過奇遁及空亡燈，才能重啟你原本該有的能量，而你就是開啟「偏財能量」。"
正官空亡,🔺 ：正官空亡，會顯現為，自己常為感情白白付出，自己很用心經營，但是最後一場空。這種無力感，是來自於自己沒辦法控制，就算再多的心思，也是沒辦法逆轉結局。好不容易找到伴侶，也會莫名奇妙地離開你，就像以往的付出都是白費的，一個無情就掰掰。感情就算再好，自己也會日患得患失，總是少了一份安全感，總是覺得未來也會辜負自己。同時，對方好像不太懂得照顧自己，也顯得不重視自己。在事業上也是沒有實際的操控權，做任事，都沒辦法堅持很久。在職場上，也是混混噩噩，得過且過，有過就好，缺方向及目標，比較沒有事業野心。破解後，事業會更有方向及目標，知道自己想要什麼成就，更知道自己要選擇適合的工作，做事更有把握，說服客人買埋也會比較有自信心，客人也比較願意聽你的建議。破解後，感情上會有主控權，一樣的付出，但會懂得拿捏，不再付100%的心力，留一些愛給自己，平衡感情，對方也不會吸收太多你的愛而窒息。你愛他的時候，他也尊重你，懂得疼愛你，他懂得愛家愛妻。女人，其實很明理，只是想要對方的重視，只要得到重視，就會放他更多的自由，不再互相綑綁在關係上，讓愛消失。
第二個正官空亡,"🔺：第二個正官空亡，完全擺脫空亡封印，感受性會更明顯。2個空亡就是2倍的失敗力量，不能只處理一個，否則還是會容易感情告吹。
 
 正官空亡有2個，所以心中渴望感情的時候，會特別難受，感情告吹會懷疑自己，否定自己。「空亡」像是封印能量的界結，要解開封印，必須要透過奇遁及空亡燈，才能重啟你原本該有的能量，而你就是開啟「桃花能量」。"
正印空亡,🔺：正印空亡，會顯現為，自己陷入困難，沒人出手幫助；自己正值低潮期，無人問津；自己在一個團隊裡像邊緣人，沒有想要主動幫助你。很多事情都是自己處理，習慣了，就變得獨立自主。雖然也不是沒人緣，但就是需要的時候，沒有人出現給予自己一點希望。有人嘗試來幫助你，但還是沒有幫上大忙，最後靠自己處理。破解正印空亡後，身邊貴人顯現，不起眼的人也會變成你的好幫手，或是恩人。一直以來的獨立自主，也變得懂得接受別人的心意。你會發現，多了一些可遇不可求的機遇，生活更順利些，職場也輕鬆些，家庭也漸漸成為你的支柱，家人幫助你會感受更深。
第二個正印空亡,"🔺：第二個正印空亡，完全擺脫空亡封印，感受性會更明顯。2個空亡就是2倍的求救無援力量，不能只處理一個，否則還是會容易處理各種危機及問題都會困難重重。
 
 正印空亡有2個，所以當你經歷難關時，會想有人救你，但最後都是自己承擔，人生特別吃力無助。「空亡」像是封印能量的界結，要解開封印，必須要透過奇遁及空亡燈，才能重啟你原本該有的能量，而你就是開啟「貴人能量」。"
食神空亡,🔺 ：食神空亡，會顯現為，思緒遲鈍混亂，自己有想法，但都沒辦法抓住靈感。精神世界無法被滿足覺得自己腦袋被挖空，常常不知道自己在幹嘛。自己的慵懶，常常是自己的絆腳石，有想法沒做法。自己的聰明不被看見，自己也不知道怎麼展現或發揮，覺得自己懷才不遇，但又沒辦法讓人欣賞自己的能力。自己有口福，卻會擔心自己沒飯吃。破解食神空亡後，靈感源源不絕，抓住重點，發揮自己。執行力也變得越來越積極，不想再被束縛，更渴望做自己，更渴望自由，實現理想中的生活。
傷官空亡,🔺 ：傷官空亡，會顯現為，反應會比較慢一拍，心思快，但腦袋不知道為何會容易想不到東西。有一絲的靈感飛過，下一秒想不起來。有時候，別人一句話，靈感大爆發，但表逹不出來，又做不出來，腦袋彷彿空白一片。這個狀況容易對自己失去信心，認為自己有能力，但沒辦法發揮。學習容易半途而廢，或容易臨門一腳失敗收場。常常覺得自己應該可以做些什麼讓自己更好，但想不通是用什麼方法，靈感很靠近時又突然變得很遙遠。另一個說法，是記性不好，容易忘東忘西，不嚴重，因為從小到大已經習慣。破解傷官空亡後，你回復對生活的鬥志，靈感源源不絕，並且能夠對準問題做出調整，針對問題做出改變。反應變快，腦筋也轉得快，記性也變好。運用在工作上，會更有效率，自己能搞定一切，雖然很累，但你享受其中。
第四部：必要標題,內容
