投入回報的位置（福報）：,內容
子女宮,你最糾結的地方就是晚輩，你越是掏心掏肺地付出，在晚輩的眼中往往都被視為「過關心、情緒勒索、嚴厲又管太多」等等。當你覺得有義務照顧晚輩的時候，往往會選擇犧牲自己的時間與資源。但你會發現，自己的疲憊內耗都是來自於「錯誤投放心力」。除了學會「重新分配資源」，更要把重心專注在「投入回報」的地方。
財帛宮,你最糾結的地方就錢財，你常為錢所困，擔心賺不夠，擔心虧損。過度的「三思而後行」的結果，就是花小錢破大財，花錢消災，入不敷支等等。自我製造對錢財的恐懼，只會侵蝕你的能量。除了學會「金錢療癒」得到安心安全感，更要把重心專注在「投入回報」的地方。
疾厄宮,讓你常常處於低迷、低能量的狀況，是源自於你的【貪、瞋、癡、慢、疑】，即五毒。貪，就是過度索取，永不滿足 。 嗔，就是嗔恨之火，足以燎原 。痴，就是不明事理，不辨是非 ·。慢，就是自我膨脹，內心空虛 。 疑，就是多疑多慮，耽誤自己。當你越擺擇脫不了五毒，你的人生只有煩惱可言。除了學會「慈悲喜捨、布施造福」得到安心安全感，更要把重心專注在「投入回報」的地方。
遷移宮,你這一生「出外見小人，在外是非多」，造成你常陷入過度在意別人的評價，活在別人的眼裡，無法做自己。當你把別人的說話放在心裡時，你特別難受，停滯不前。你越是在乎別人的批評，都無法讓自己進步。除了學會「相信直覺、聽從內心聲音」，更要把重心專注在「投入回報」的地方。
官祿宮,你最糾結的地方就事業成就，你會花很多時間、精神、心力在工作上，容易為了未來的事業，犧牲家庭或感情。你越是工作狂，你越難以有所成就。你以為你付出的，會在職場上有正比例的回應，但結果往往都是讓你失望又絕望。你越是往上爬，你越是陷入低谷中。除了學會平衡「工作及生活」，更要把重心專注在「投入回報」的地方。
福德宮,你常想不開、有心結，源自於你心靈空虛。所有心理疾病，都是心靈不被滿足所致。不管你做什麼事，去哪裡，買什麼東西，體驗什麼服務，都無法填補你的空洞感。你越是用物質穫得一時開心，你越覺得生活沒希望。除了學會「身心靈療癒」，更要把重心專注在「投入回報」的地方。
父母宮,你最糾結的地方就是父母，對於父母親的期盼，你永遠追不上進度。你的壓力也來自於父母親的期望，但是你知道那些都不是你想要的。當你有困難時，他們更是沒辦法幫你解決問題，甚至是幫你做錯誤的決定。千萬不要把自己的人生，框架在父母親的嘴巴上，你會一事無成。你越是聽話照做，千依百順會成為你「成功」的絆腳石。你對父母親的付出，都沒辦法得到相對應的回報。除了學會「堅定自己的立場」，更要把重心專注在「投入回報」的地方。
田宅宮,你最糾結的地方就是家庭，你會花時間在照顧家庭，也願意犧牲自己來成就家庭。但是，家庭鬥爭與不和諧，往往會成為你「成功」的絆腳石。無論家庭是否對你好，你對家庭的付出，都沒辦法得到相對應的回報。除了學會拿揑取捨「心力」，更要把重心專注在「投入回報」的地方。
交友宮,你最糾結的地方就是朋友，你所在乎的友情都會摧毀你的人生。你越是重朋友，換來的只有背叛、出賣、麻煩。「掏錯心，信錯人」是你的人生故事，也會成為你「成功」的絆腳石。無論朋友是否對你好，你對朋友的付出，都沒辦法得到相對應的回報。除了學會平衡「人情」，更要把重心專注在「投入回報」的地方。
人生意義：,內容
子午：命宮,一生在於只管自己有興趣的事情，埋首享受在興趣之中。自我主觀意識強、自負、不容易受他人影響。重視自己，自我要求也比較高。同時，觀察自己的情緒起伏，以及同理心的拿捏會是一個課題。
卯酉：遷移宮,一生在於良好的人際關係，朋友成群，在乎出門在外的人際關係與他人對自己的評價。重視人際關係的人，多半異常在意別人的眼光和看法，怎麼平衡這之間的能量變得非常的重要，足以影響當事人一生的發展。
巳亥：夫妻宮,一生在於擁有一段美好的愛情，沒有愛情就不是生活，也在乎另一半的感受。重視愛情的，此生感情故事一定精彩，那就請好好經營愛情與婚姻。
寅申：官祿宮,一生在於事業成就，重視工作上的名聲與地位、工作上自我要求高。你重視工作，請認真想好自己適合什麼類型的工作模式，畢竟生命時間有限，刻意安排，也要刻意精彩。
丑未：福德宮,一生在於滿足心靈層面的需求。表現為重享受、重視精神與生活品質、在乎身心靈感受。
辰戍：財帛宮,一生在於以賺錢為人生最高目的、身上沒錢全身不自在。重視金錢的，可以多方認識眾多理財工具，滿足自己在金錢追求上的中庸之道。
工作能力,內容
七殺、破軍、貪狼、廉貞,"你衝動，不是壞事，但請你好好利用。
 
 善用你個性的能力，會展現出你的優勢，你擁有很強的開創力、行動力以及交際力，你也敢於冒險嘗試，這些特質是你最為突出的經營特質。也正因為敢想敢做，有著「只要我想，沒什麼不可以」的人生信念，很適合在年輕的時候創業找到自己的經營方式。
 
 所以，在你的經營模式裡，請給自己高難度的挑戰任務。讓你的工作充滿著挑戰、變化、新鮮、刺激，這種氛圍或環境會激發到你發揮優勢。"
紫微、天府、武曲、天相,"你有遠大的目標，不是畫大餅，但請你好好用在對的位置上。
 
 善用你個性的能力，會展現出你的優勢，你可以客觀理性，同時以大局視野看清整體狀況，這些特質是你最為突出的經營特質。你適合做可以「果斷領導，用人唯才，指派人才分工合作」的工作，你擁有領袖的氣質，代表著你比其他人更能帶領團隊，走在正軌上，專注目標。
 
 所以，在你的經營模式裡，請給自己主導的機會，你的事業雄心不會辜負你。但不要三心兩意，專注在同一個行業，你才會建立穩定的事業，否則每每失敗轉型。"
太陽、巨門、天機,"你口才很好，但不是用來爭議，而是用來說服他人認同自己，加入自己。
 
 善用你個性的能力，會展現出你的優勢，你的角色就是擔當智囊團的策劃者，非常有研究精神，也喜歡表達想法，這些特質是你最為突出的經營特質。你有一種「帶給人深層思考、突破盲點、能幫人做出正確的策略、規劃正確的方向」的能力，所以，你的存在會讓人安心又放心。你的想法，透過其他人去實行，成為你的實驗。你不應該走「自編自導自演的路線」，而是要「你編，你導，他演」才是完美。
 
 所以，在你的經營模式裡，請好好發揮自己的想像，不要局限於「必須要自己實行」，會非常阻斷了你腦海裡最完美的計劃。沒有行動力沒關係，你必須認清楚，你是善於表達，不是善於行動。只要你願意表達，再配合說話技巧，是可以靠腦袋嘴巴就能賺錢。"
太陰、天同、天梁,"你的團隊能力很強，不是依賴，而是很會整合團隊，讓團體越來越壯大。
 
 善用你個性的能力，會展現出你的優勢，心思細膩，深入細節，這些特質是你最為突出的經營特質。你很擅長管理團隊或處理規劃，因為你行事謹慎，懂得循序漸進，可以讓一夥人共同走在正軌上，不偏不移，從穩定中強大起來。你的存在，是讓整個計劃是否更有效率地強大的關鍵，著重進行，不浪費時間重複錯誤，為各位把關細節，用最快的節奏順利地完成。
 
 所以，在你的經營模式裡，請好好發揮你對處理細節的熱忱，細微地打點一切，都是一種體貼入微的優質服務。不要吝嗇於提供你的觀察結論，你的一句話，會讓整個計劃回到正確的效率上。你的細心，會是你在團隊裡成為關鍵人物的原因。"
天生的財富來源,內容
七殺,經營白手起家的工作，你對於一切的堅持，都需要經過一段奮鬥才能獲得財富。
破軍,善用你有能力實現夢想的特質，呈現或表達在與別人不同的創意跟想法上，容易有賺錢的機會。
貪狼,善用你對XX的慾望，利用人際關係跟多方面的知識，容易有賺錢的機會。
廉貞,善用並結合創意跟人脈會就是你最大的資源，容易有賺錢的機會。
紫微,運用自己的魅力，堅信自己對事情的看法，容易有賺錢的機會。
天府,你善於籌劃與謀略，和這類能力相關的事業範疇，容易有賺錢的機會。
武曲,一步一腳印地展現各類型專業技能，容易有賺錢的機會。
天相,專注在人際關係的建立與經營，人脈就是錢脈，容易有賺錢的機會。
太陽,事業要制訂規則才會順利，因此努力讓自己有所展現。同時，也要照顧身邊所有的人，重心放在「溫暖關懷」的舉動上，你會因這一層關懷而容易有賺錢的機會。
巨門,因為你內心的不安（沒有安全感）所以讓你努力累積的各種知識，再加上你超強的溝通能力及判斷能力，盡心發揮這2項技能，容易有賺錢的機會。
天機,善用邏輯能力，和這類能力相關的事業範疇，多加尋找不同的發揮機會，容易有賺錢的機會。
太陰,善用溫暖關懷的特質，專注照顧他人，容易有賺錢的機會。
天同,善用一技之長用來成就他人，容易有賺錢的機會。
天梁,專注在信念，堅定並堅持，你會呈現「心想事成」的狀態，只要夠努力，容易有賺錢的機會。
空宫,經常視錢財如糞土，有些「無欲無求」的味道，也不管自己缺不缺錢，很難受錢財的誘惑，掙錢上也比較難有積極性，有些佛系。
賺錢的動力：,內容
七殺,要提升賺錢的動力，就不要怕吃苦，重視自我，抱有想快速成功的企圖心，並且要享受賺錢過程。
破軍,要提升賺錢的動力，就要重視自我，享受刺激過程，而且不斷超越別人。
貪狼,要提升賺錢的動力，就要掌控你能掌控的事，同時，遇到挑戰要敢於冒險。
廉貞,要提升賺錢的動力，就要著重玩樂，同時，要滿足欲望。
紫微,要提升賺錢的動力，就要做事乾脆俐落，滿足心中的佔有慾，同時也要得到尊敬及地位。
天府,要提升賺錢的動力，就是享受人生，大方慷慨，靠權謀爭奪權力。
武曲,要提升賺錢的動力，就要願意吃苦耐勞，不畏挫折。
天相,要提升賺錢的動力，凡事就要照自己腳本走，快速處理，掌權，把責任交給信任的人去執行。
太陽,要提升賺錢的動力，就要熱心幫助大眾，無私奉獻。
巨門,要提升賺錢的動力，就要專研自己喜歡的事，找出答案，獨立處理。
天機,要提升賺錢的動力，做事就要用對謀略，付出也要看時機，需要照著自己的想法或直覺去執行。
太陰,要提升賺錢的動力，就要追求完美，做好自己的本份，順應環境。
天同,要提升賺錢的動力，就要知足常樂，常常感恩，滿足於當下。
天梁,要提升賺錢的動力，做事的意義要在於公益，樂於無私奉獻，滿足自己的使命感。
真正為你賺錢的方法：,內容
真正為你賺錢的方法,真正為你賺錢的方法：
